Requirement,Code Snippet,Question,Error,Answer,URL,Source,Language,Difficulty
,"int r = 1;
int i = 1;
while (i <= n):
{r = r*a;
i++;
}",What is the output of this code if the value of 'n' is 4 and 'a' is 3?,,,https://www.youtube.com/watch?v=Z4HL5JF4kp8,YouTube,,AP
,"public int recur1(int a)
{if (a <=0)
	return 0;
return 3 + recur1(a-2);
}",What is the output of this code if the value of a is 5?,,,https://www.youtube.com/watch?v=Z4HL5JF4kp9 ,YouTube,,AP
"Bit Counting
Write a function that takes an integer as input, and returns the number of bits that are equal to one in the binary representation of that number. You can guarantee that input is non-negative.

Example: The binary representation of 1234 is 10011010010, so the function should return 5 in this case
",,"What will be the output of the code snippet? 

```java
int x = 5;
System.out.println(""The value of x is "" + x);
```

Answer: The output of the code snippet will be: ""The value of x is 5"".",,yes,https://www.youtube.com/watch?v=Zm0Oxv47CX0,YouTube,Python,
,,What is the purpose of the code?,,yes,https://www.youtube.com/watch?v=Zm0Oxv47CX0,YouTube,Python,
,,What is the purpose of this code snippet?,,yes,https://www.youtube.com/watch?v=Zm0Oxv47CX0,YouTube,Python,
,,What is the purpose of this code?,,yes,https://www.youtube.com/watch?v=Zm0Oxv47CX0,YouTube,Python,
,,What is the purpose of the code?,,yes,https://www.youtube.com/watch?v=Zm0Oxv47CX0,YouTube,Python,
,"public class MethodTrace
{
  public void square(int x)
  {
      System.out.print(x*x);
  }
  public void divide(int x, int y)
  {
      System.out.println(x/y);
  }
  public static void main(String[] args) {
      MethodTrace traceObj = new MethodTrace();
      traceObj.square(5);
      System.out.print("" and "");
      traceObj.divide(4,2);
  }
 }",What is the output of the code?,,,https://runestone.academy/ns/books/published/csawesome/,,,
"2-4-8: Consider the following methods:
","public void inchesToCentimeters(double i)
{
    double c = i * 2.54;
    printInCentimeters(i, c);
}

public void printInCentimeters(double inches, double centimeters)
{
    System.out.print(inches + ""-->"" + centimeters);
}",What is the output of this code if the method inchesToCentimeters(10) is called?,,,https://runestone.academy/ns/books/published/csawesome/,,,
"2-4-9: Consider the following methods, which appear in the same class.
","public void splitPizza(int numOfPeople)
{
    int slicesPerPerson = 8/numOfPeople;
    /* INSERT CODE HERE */
}

public void printSlices(int slices)
{
    System.out.println(""Each person gets "" + slices + "" slices each"");
}","If the splitPizza method is called with an argument of 0, what will be the output when calling the printSlices method?",,,https://runestone.academy/ns/books/published/csawesome/,,,
,"public class MethodTrace
{
  public int square(int x)
  {
      return x*x;
  }
  public int divide(int x, int y)
  {
        return x/y;
  }
  public static void main(String[] args) {
      MethodTrace traceObj = new MethodTrace();
      System.out.println( traceObj.square(2) + traceObj.divide(6,2) );
  }
 }",What is the output of the code?,,,https://runestone.academy/ns/books/published/csawesome/,,,
2-5-6: Consider the following method.,"public double calculatePizzaBoxes(int numOfPeople, double slicesPerBox)
{ /*implementation not shown */}",What are the parameters of the calculatePizzaBoxes method?,,,https://runestone.academy/ns/books/published/csawesome/,,,
"2-5-7: Consider the following class definition.
","public class Liquid
{
    private double boilingPoint;
    private double freezingPoint;
    private double currentTemp;

    public Liquid()
    {
        currentTemp = 50;
    }

    public void lowerTemp()
    {
        currentTemp -= 10;
    }

    public double getTemp()
    {
        return currentTemp;
    }
}

Assume that the following code segment appears in a class other than Liquid.

Liquid water = new Liquid();
water.lowerTemp();
System.out.println(water.getTemp());
",What is the output of the code segment if the initial temperature of the Liquid object is 50 degrees Celsius?,,,https://runestone.academy/ns/books/published/csawesome/,,,
,"String s1 = ""xy"";
String s2 = s1;
s1 = s1 + s2 + ""z"";",What is the final value of s1 after the execution of the code?,,,,,,
,"String s1 = ""abccba"";
int pos = s1.indexOf(""b"");",What is the value of 'pos' after executing this code?,,,,,,
,"String s1 = ""baby"";
int len = s1.length();",What is the value of 'len' after executing this code?,,,,,,
,"String s1 = ""baby"";
String s2 = s1.substring(0,3);",What is the value of s2 after the execution of this code?,,,,,,
,"String s1 = ""baby"";
String s2 = s1.substring(2);",What is the value of s2 after the execution of this code?,,,,,,
,"String s1 = new String(""hi there"");
int pos = s1.indexOf(""e"");
String s2 = s1.substring(0,pos);",What is the value of 'pos' after executing the first line of code?,,,,,,
,"String s1 = ""Hi"";
String s2 = s1.substring(0,1);
String s3 = s2.toLowerCase();",What is the value of s2 after the execution of the second line of code?,,,,,,
,"String s1 = ""Hi"";
String s2 = s1.substring(0,1);
String s3 = s2.toLowerCase();",What is the value of s2 after executing the second line of code?,,,,,,
,"String s1 = ""Hi"";
String s2 = ""Bye"";
int answer = s1.compareTo(s2);",What is the value of 'answer' after the execution of this code?,,,,,,
,"int x = 0;
int y = 1;
int z = 2;
x--;
y++;
z+=y;","What are the final values of x, y, and z after the execution of this code?",,,,,,
,"int x = 3;
int y = 5;
int z = 2;
x = z * 2;
y = y / 2;
z++;","What is the final value of x, y, and z after the execution of this code?",,,,,,
"2-14-7: Consider the following methods, which appear in the same class.","public void celsiusToFahrenheit(double cTemp)
{
    double fTemp = (cTemp * 9)/5 + 32;
    printTemperature(cTemp, fTemp);
}

public void printTemperature(double celsius, double fahrenheit)
{
    System.out.print(celsius + ""-->"" + fahrenheit);
}",What is the output of the program if the celsiusToFahrenheit method is called with a temperature of 20?,,,,,,
,"String s1 = ""Hey, buddy!"";
int len = s1.length();",What is the value of the variable 'len' after executing the code snippet?,,,,,,
,"String s1 = ""ac ded ca"";
int pos = s1.indexOf(""d"");",What is the value of 'pos' after the execution of this code?,,,,,,
,"String s1 = ""Hey"";
String s2 = s1.substring(0,1);
String s3 = s2.toLowerCase();
",What is the value of s3 after executing the above code?,,,,,,
,"public class BankAccount
{
    private int accountID;
    private double total;

    public BankAccount(int id, double initialDeposit)
    {
        accountID = id;
        total = initialDeposit;
    }

    public void deposit(double money)
    {
        total = total + money;
    }

    public void withdraw(double money)
    {
        total = total - money;
    }

    public void printCurrentTotal()
    {
        System.out.print(total);
    }

    public static void main(String[] args)
    {
        BankAccount newAccount = new BankAccount(12345, 100.00);
        newAccount.withdraw(30.00);
        newAccount.deposit(40.00);
        newAccount.printCurrentTotal();
    }
}",What is the output of the program when executed?,,"A. 100.00
B. 110.00
C. 90.00
D. 10.00",,,,
,"double value = Math.random();
int num = (int) (value * 5) + 5;",What is the data type of the variable 'value' in this code snippet? What is the range of possible values that 'num' can take?,,"A. a random number from 0 to 4
B. a random number from 1 to 5
C. a random number from 5 to 9
D. a random number from 5 to 10",,,,
,"double value = Math.random();
int num = (int) (value * 11) - 5;",What is the range of possible values for the variable 'num' in this code?,,"A. a random number from 0 to 10
B. a random number from 0 to 9
C. a random number from -5 to 4
D. a random number from -5 to 5",,,,
,"String s1 = ""xyz"";
String s2 = s1;
String s3 = s2;

I.   s1.equals(s3)
II.  s1 == s2
III. s1 == s3","What is the output of the following code snippet? 
I. s1.equals(s3)
II. s1 == s2
III. s1 == s3",,"A. I, II, III
B. I only
C. II only
D. III only
E. II and III only",,,,
,"String s = ""Georgia Tech"";
String s1 = s.substring(0,7);
String s2 = s1.substring(2);
String s3 = s2.substring(0,3);
System.out.println(s3);",What is the output of this code?,,"A. org
B. eor
C. eorg
D. orgi
E. You will get an index out of bounds exception",,,,
,"String s1 = ""Hi There"";
String s2 = s1;
String s3 = s2;
String s4 = s1;
s2 = s2.toLowerCase();
s3 = s3.toUpperCase();
s4 = null;","After executing this code, what are the values of s1, s2, s3, and s4?",,"A. null
B. hi there
C. HI THERE
D. Hi There
E. hI tHERE",,,,
,"class SomeClass
{
    public SomeClass()
    {
        System.out.print(""Hello "");
    }

    void printSomething(String name)
    {
        System.out.print(""Hello "" + name + "" "");
    }
}

public class MainClass
{
    public static void main(String[] args)
    {
        SomeClass someClass = new SomeClass();
        someClass.printSomething(""Bob"");
    }
}",What will be the output of the above code snippet?,,"A. Hello Bob
B. Hello Hello Bob
C. Hello Bob Hello Bob
D. Hello Bob Hello",,,,
,"public class Test
{
   String someFunc(String str)
   {
       return someOtherFunc(str + "" Hoo"");
   }

   String someOtherFunc(String str)
   {
       return ""Hoo "" + str;
   }

   public static void main(String[] args)
   {
       Test x = new Test();
       System.out.print(""Woo "" + x.someFunc(""Woo""));
   }
}",What is the output of this code?,,"A. Woo Hoo Hoo Woo
B. Hoo Woo Hoo
C. Woo Hoo Woo Hoo
D. Woo Woo Hoo Hoo",,,,
,"System.out.println(""13"" + 5 + 3);",What is the output of this code?,,"A. 21
B. 1353
C. It will give a run-time error
D. 138
E. It will give a compile-time error",,,,
,"class SomeClass
{
    int someVar;
}

public class MainClass
{
    public static void main(String[] args)
    {
        SomeClass x;
        System.out.println(x.someVar);
    }
}",What will be the output of the given code?,,"A. unknown value
B. 0
C. compile error
D. runtime error",,,,
,"class SomeClass
{
    int someVar;
}

public class MainClass
{
    public static void main(String[] args)
    {
        SomeClass x = new SomeClass();
        System.out.println(x.someVar);
    }
}",What is the output of this code?,,"A. unknown value
B. 0
C. compile error
D. runtime error",,,,
"3-1-8: Consider the following statement.
",boolean x = (5 % 3 == 0) == (3 > 5);,What is the value of boolean variable x after the execution of this code?,,,,,,
3-1-9: Consider the following Boolean expression in which the int variables x and y have been properly declared and initialized.,(x >= 10) == (y < 12),What is the output of this code if x is 9 and y is 11?,,,,,,
,"public class Test1
{
   public static void main(String[] args)
   {
     boolean isRaining = true;
     if (isRaining)
     {
        System.out.println(""Take an umbrella!"");
     }
     System.out.println(""Drive carefully"");
   }
}",What will be the output of this code?,,,,,,
,"int x = 3;
if (x > 2)
{
    x = x * 2;
}
if (x > 4)
{
   x = 0;
}
System.out.print(x);",What is the output of this code?,"A. 3
B. 6
C. 0
D. 4
E. The code will not compile",,,,,
"3-2-7: Consider the following code segment.
","int speed = 35;
boolean rain = false;

if (rain)
{
   speed -= 10;
}

if (rain == false)
{
  speed += 5;
}

if (speed > 35)
{
   speed = speed - 2;
}

System.out.println(speed);",What would be the output of the code snippet if the value of rain is true?,,"A. 28
B. 35
C. 38
D. 25
E. 33",,,,
"3-2-8: Consider the following code segment.
","int x = 5;

if (x < 5)
{
   x = 3 * x;
}

if (x % 2 == 1)
{
   x = x / 2;
}

System.out.print(2*x + 1);",What is the output of this code segment?,,"A. 3
B. 11
C. 31
D. 15
E. 5",,,,
"3-3-8: Consider the following code segment where a range of “High”, “Middle”, or “Low” is being determined where x is an int and a “High” is 80 and above, a “Middle” is between 50 - 79, and “Low” is below 50.","if (x >= 80)
{
   System.out.println(""High"");
}

if (x >= 50)
{
  System.out.println(""Middle"");
}
else
{
   System.out.println(""Low"");
}",What will be the output if x is 90?,,"A. 80
B. 60
C. 50
D. 30
E. -10",,,,
,"if (x < 0)
{
   System.out.println(""x is negative"");
}
else if (x == 0)
{
   System.out.println(""x is zero"");
}
else
{
   System.out.println(""x is positive"");
}",What will be the output if the value of x is -7?,,"A. x is negative
B. x is zero
C. x is positive",,,,
,"if (x < 0)
{
   System.out.println(""x is negative"");
}
else if (x == 0)
{
   System.out.println(""x is zero"");
}
else
{
   System.out.println(""x is positive"");
}",What is the output of this code if the value of x is -5?,,"A. x is negative
B. x is zero
C. x is positive",,,,
,"if (x < .25)
{
    System.out.println(""first quartile"");
}
else if (x < .5)
{
    System.out.println(""second quartile"");
}
else if (x < .75)
{
    System.out.println(""third quartile"");
}
else
{
    System.out.println(""fourth quartile"");
}",What will be the output of this code if the value of x is 0.3?,,"A. first quartile
B. second quartile
C. third quartile
D. fourth quartile",,,,
,"I.   if (x > 66)
     {
       System.out.println(""High"");
     }
     else if (x > 33)
     {
       System.out.println(""Medium"");
     }
     else {
       System.out.println(""Low"");
     }

II.  if (x < 33)
     {
       System.out.println(""Low"");
     }
     else if (x < 66)
     {
       System.out.println(""Medium"");
     }
     else {
       System.out.println(""High"");
     }

III. if (x >= 66)
     {
       System.out.println(""High"");
     }
     if (x >= 33)
     {
       System.out.println(""Medium"");
     }
     if (x < 33)
     {
       System.out.println(""Low"");
     }","For code snippet I, what will be the output if x is equal to 55?",,"A. I only
B. II only
C. III only
D. I and II only
E. II and III only",,,,
,"if (x > 0 && (y / x) == 3)
{
   System.out.println(""first case"");
}
else
{
   System.out.println(""second case"");
}",What is the output of this code if x = 2 and y = 6?,,"A. first case
B. second case",,,,
,"if (x > 0 || (y / x) == 3)
{
   System.out.println(""first case"");
}
else
{
   System.out.println(""second case"");
}",What will be the output of this code if the value of x is -1 and y is 10?,,"A. first case
B. second case",,,,
,"if (x > 0 && (y / x) == 3)
{
   System.out.println(""first case"");
}
else
{
   System.out.println(""second case"");
}",What is the output of this code if the value of x is 2 and y is 6?,,"A. first case
B. second case
C. You will get a error because you can't divide by zero.",,,,
,"if (x == 0 || (y / x) == 3)
{
   System.out.println(""first case"");
}
else
{
   System.out.println(""second case"");
}",What will be the output of this code if the value of x is 0 and y is 9?,,"A. first case
B. second case
C. You will get a error because you can't divide by zero.",,,,
,"int x = 10;
int y = 5;

if (x % 2 == 0 && y % 2 == 0 || x > y)
{
    System.out.print(""First "");

    if (y * 2 == x || y > 5 && x <= 10)
    {
       System.out.print(""Second "");
    }
    else
    {
       System.out.print(""Third "");
    }
}",What is the output of the code if x is 10 and y is 5?,,"A. Nothing is printed out.
B. First
C. Third
D. FirstSecond
E. FirstThird",,,,
,"int x = 4, y = 3;
if (!(x < 3 || y > 2))
{
   System.out.println(""first case"");
}
else
{
   System.out.println(""second case"");
}",What is the output of this code?,,"A. first case
B. second case",,,,
,"int x = 4, y = 3;
if (!(x < 3 && y > 2))
{
   System.out.println(""first case"");
}
else
{
   System.out.println(""second case"");
}",What will be the output of this code?,,"A. first case
B. second case",,,,
,!(x > 2 && y < 4),What is the output of this code if x is 1 and y is 5?,,"A. (x < 2) || (y > 4)
B. (x < 2) && (y > 4)
C. (x <= 2) || (y >= 4)
D. (x <= 2) && (y >= 4)",,,,
,!(x == 2 && y > 4),What is the output of this code if x is 2 and y is 3?,,"A. (x != 2) || (y < 4)
B. (x != 2) && (y < 4)
C. (x != 2) && (y <= 4)
D. (x != 2) || (y <= 4)",,,,
,!(x!=5 && y!=7),What is the output of this code if x is 5 and y is 7?,,"A. (x == 5) || (y == 7)
B. (x == 5) && (y == 7)
C. (x != 5) || (y != 7)
D. (x < 5) || (x > 5) || (y > 7) || (y < 7)",,,,
,!(x<= 5 && y > 7),What is the output of this code if x has a value of 6 and y has a value of 8?,,"A. (x > 5) && (y < 7)
B. (x > 5) || (y < 7)
C. (x > 5) && (y <= 7)
D. (x > 5) || (y <= 7)",,,,
,"String s1 = new String(""hi"");
String s2 = new String(""bye"");
String s3 = new String(""hi"");
s2 = s1;","What are the values of s1, s2, and s3 after the execution of this code?",,"A. s1 == s2 && s1 == s3
B. s1 == s2 && s1.equals(s3)
C. s1 != s2 && s1.equals(s3)",,,,
,"String s1 = new String(""hi"");
String s2 = new String(""bye"");
String s3 = new String(""hi"");",How many String objects are created in this code snippet?,,"A. s1 == s2 && s1 == s3
B. s2.equals(s3) && s1.equals(s3)
C. s1 != s3 && s1.equals(s3)",,,,
,"String s1 = new String(""hi"");
String s2 = new String(""bye"");
String s3 = new String(""hi"");","What is the output of the following code if we execute the below command?
```
System.out.println(s1 == s2);
```
and 
```
System.out.println(s1 == s3);
```",,"A. s1 == s3 && s1.equals(s3)
B. s2.equals(s3) && s1.equals(s3)
C. !(s1 == s2) && !(s1 == s3)",,,,
"3-7-11: Consider the following code segment.
","String message = new String(""AP Practice"");
String note = new String(""AP Practice"");
String memo = new String(""memo"");
int i = 5;

if (message.equals(note) && !message.equals(""memo""))
{
    message = note;

    if (message == note && message.length() > i)
    {
       i = 3;
       memo = message.substring(i);
    }
}","What is the value of the variable 'memo' after the execution of the code segment, given that the initial value of 'i' is 5?",,"A. message == note && message == memo
B. message.equals(note) && message.equals(memo)
C. message == note && memo.equals(“Practice”)
D. message != note || message == memo
E. message.equals(memo) || memo.equals(note)",,,,
,"if (x < 0)
{
   System.out.println(""x is negative"");
}
else if (x == 0)
{
    System.out.println(""x is zero"");
}
else
{
    System.out.println(""x is positive"");
}",What output will be displayed if the value of x is -5?,,"A. x is negative
B. x is zero
C. x is positive",,,,
,"if (!(x < 3 || y > 2))
   System.out.println(""first case"");
else
   System.out.println(""second case"");
",What is the output of this code if x is 2 and y is 4?,,"A. first case
B. second case",,,,
,"if (score >= 90) grade = ""A"";
if (score >= 80) grade = ""B"";
if (score >= 70) grade = ""C"";
if (score >= 60) grade = ""D"";
else grade = ""E"";",What grade will be assigned to a student with a score of 85?,,"A. A
B. B
C. C
D. D
E. E",,,,
,"if (x > 0 || (y / x) == 3)
   System.out.println(""first case"");
else
   System.out.println(""second case"");",What will be the output of this code if x is 1 and y is 4?,,"A. first case
B. second case
C. You will get a error because you can't divide by zero.",,,,
,"int x = 3;
int y = 2;
if (x > 2)
   x++;
if (y > 1)
   y++;
if (x > 2)
   System.out.print(""first "");
if (y < 3)
   System.out.print(""second "");
System.out.print(""third"");",What will be the output of the code?,,"A. first
B. first second
C. first second third
D. first third
E. third",,,,
,"int x = 3;
int y = 2;
if (y / x > 0)
   System.out.print(""first "");
   System.out.print(""second "");",What will be the output of this code snippet?,,"A. first
B. second
C. first second
D. Nothing will be printed",,,,
,"int count = 0;
/* missing loop header */
{
    System.out.print(count + "" "");
    count += 2;
}",What will be the output of this code?,,"""A. while (count == 10)
B. while (count < 10)
C. while (count <= 10)
D. while (count > 10)""",,,,
,"int count = 1;
while (count <= 10)
{
    count *= 2;
}
count = count - 10;",What is the final value of the variable 'count' after the execution of this code?,,"A. 0
B. 1
C. 16
D. 6",,,,
,"int x = -5;
while (x < 0)
{
   x++;
   System.out.print(x + "" "");
}",What is the output of the code?,,"A. 5 4 3 2 1
B. -5 -4 -3 -2 -1
C. -4 -3 -2 -1 0",,,,
"4-1-9: Consider the following code segment.
","int n = 35;
int result = 1;
while (n > 0)
{
    int d = n % 10;
    result *= d;
    n /= 10;
}
System.out.println(result);",What is the output of the code segment?,,"A. 35
B. 15
C. 10
D. 8
E. 33",,,,
"4-1-10: Consider the following code segment which is intended to print out the even numbers from 0 to 8 (including 8).
","int count = 0;
/* missing loop header */
{
    if (count % 2 == 0)
    {
        System.out.println(count);
    }
    count++;
}",What is the output of this code?,,"A. while (count > 0)
B. while (count >= 8)
C. while (count < 8)
D. while (count < 10)
E. while (count <= 10)",,,,
,"for (int i = 3; i < 8; i++)
{
   System.out.print(i + "" "");
}",What is the output of this code?,,"A. 3 4 5 6 7 8
B. 0 1 2 3 4 5 6 7 8
C. 8 8 8 8 8
D. 3 4 5 6 7",,,,
,"for (int i = 1; i <= 10; i++)
{
   System.out.print(i + "" "");
}",What is the output of this code?,,"A. 3 4 5 6 7 8
B. 0 1 2 3 4 5 6 7 8 9
C. 1 2 3 4 5 6 7 8 9 10
D. 1 3 5 7 9",,,,
,"for (int i = 3; i <= 9; i++)
{
   System.out.print(""*"");
}",What will be the output of this code snippet?,,"A. 10
B. 6
C. 7
D. 9",,,,
,"for (int i = 1; i < 7; i++)
{
    for (int y = 1; y <= 5; y++)
    {
        System.out.print(""*"");
    }
    System.out.println();
}
",What is the output of this code?,,"A. A rectangle of 7 rows with 5 stars per row.
B. A rectangle of 7 rows with 4 stars per row.
C. A rectangle of 6 rows with 5 stars per row.
D. A rectangle of 6 rows with 4 stars per row.",,,,
,"for (int i = 0; i < 5; i++)
{
    for (int j = 3; j >= 1; j--)
    {
        System.out.print(""*"");
    }
    System.out.println();
}",What is the output of this code?,,"A. A rectangle of 4 rows with 3 star per row.
B. A rectangle of 5 rows with 3 stars per row.
C. A rectangle of 4 rows with 1 star per row.
D. The loops have errors.",,,,
,"int var1 = 0;
int var2 = 2;

while ((var2 != 0) && ((var1 / var2) >= 0))
{
   var1 = var1 + 1;
   var2 = var2 -1;
}",What is the final value of var1 after the execution of the code?,,"A. var1 = 1, var2 = 1
B. var1 = 2, var2 = 0
C. var1 = 3, var2 = -1
D. var1 = 0, var2 = 2
E. The loop will cause a run-time error with a division by zero",,,,
,"int x = 2;
int y = 5;

while (y > 2 && x < y)
{
   x = x + 1;
   y = y - 1;
}",What are the final values of x and y after the code execution?,,,,,,
,"for (int i = 3; i < 8; i++)
{
    for (int y = 1; y < 5; y++)
    {
        System.out.print(""*"");
    }
    System.out.println();
}",What is the output of this code?,,,,,,
,"for (int i = 2; i < 8; i++)
{
    for (int y = 1; y <= 5; y++)
    {
        System.out.print(""*"");
    }
    System.out.println();
}",What is the output of this code snippet?,,,,,,
,"for (int i = 3; i <= 9; i++)
{
   for (int j = 6; j > 0; j--)
   {
       System.out.print(""*"");
   }
   System.out.println();
}",What will be the output of this code snippet?,,,,,,
,"int i = 0;
while (i <= 4)
{
  for (int j = 0; j < 3; j++)
  {
    System.out.println(""Hi!"");
  }
  i++;
}",What will be the output of the code snippet?,,,,,,
,"for (int i = 3; i <= 12; i++)
{
   System.out.print(i + "" "");
}",What is the output of this code?,,,,,,
,"for (int i = 3; i < 9; i++)
{
   System.out.print(""*"");
}",What is the output of this code?,,,,,,
,"int x = -5;
while (x < 0)
{
   x++;
   System.out.print(x + "" "");
}",What is the output of this code?,,,,,,
,"for (int i = 5; i <= 12; i++)
{
   System.out.print(""*"");
}",What will be the output of this code snippet?,,,,,,
,"for (int i = 1; i < 5; i++)
{
   System.out.print(""*"");
}",What is the output of this code?,,,,,,
,"for (int i = 0; i <= 8; i++)
{
   System.out.print(""*"");
}",What is the output of this code?,,,,,,
,"for (int x = 0; x < 5; x++)
{
   System.out.print(""*"");
}",What is the output of this code?,,,,,,
,"for (int x = 2; x < 8; x++)
{
   System.out.print(""*"");
}",What is the output of this code?,,,,,,
,"int x = 0;
while (x <= 5)
{
   System.out.print(x + "" "");
   x++;
}",What will be the output of this code?,,,,,,
,"int x = 3;
while (x < 9)
{
   System.out.print(x + "" "");
}",What will be the output of the code?,,,,,,
,"for (int i = 0; i < 5; i++) {
   for (int j = 0; j < 5; j++)
      System.out.println(""*"");
}",What is the output of this code?,,,,,,
,"for (int k = 0; k < 20; k+=2) {
   if (k % 3 == 1)
      System.out.print(k + "" "");
}",What is the output of this code?,,,,,,
,"int var1 = 0;
int var2 = 2;

while ((var2 != 0) && ((var1 / var2) >= 0)) {
   var1 = var1 + 1;
   var2 = var2 - 1;
}",What is the final value of var1 after the while loop is executed?,,,,,,
