Requirement,Code Snippet,Question,Error,Answer,URL,Source,Language,Difficulty
,"public int recur1(int a)
{if (a <=0)
	return 0;
return 3 + recur1(a-2);
}",What is the result of recur1(6)?,,,https://www.youtube.com/watch?v=Z4HL5JF4kp9 ,YouTube,,AP
"Bit Counting
Write a function that takes an integer as input, and returns the number of bits that are equal to one in the binary representation of that number. You can guarantee that input is non-negative.

Example: The binary representation of 1234 is 10011010010, so the function should return 5 in this case
",,What is the memory state after line 2 executes?,,yes,https://www.youtube.com/watch?v=Zm0Oxv47CX0,YouTube,Python,
,,Is the variable x still in memory?,,yes,https://www.youtube.com/watch?v=Zm0Oxv47CX0,YouTube,Python,
,,Can you still refer to x? Can you still get its value?,,yes,https://www.youtube.com/watch?v=Zm0Oxv47CX0,YouTube,Python,
,,"Now, what's the next line?",,yes,https://www.youtube.com/watch?v=Zm0Oxv47CX0,YouTube,Python,
,,Show the values of all variables currently in memory after the line is executed.,,yes,https://www.youtube.com/watch?v=Zm0Oxv47CX0,YouTube,Python,
,"public class MethodTrace
{
  public void square(int x)
  {
      System.out.print(x*x);
  }
  public void divide(int x, int y)
  {
      System.out.println(x/y);
  }
  public static void main(String[] args) {
      MethodTrace traceObj = new MethodTrace();
      traceObj.square(5);
      System.out.print("" and "");
      traceObj.divide(4,2);
  }
 }","2-4-6: What does the following code print out?

",,,https://runestone.academy/ns/books/published/csawesome/,,,
"2-4-8: Consider the following methods:
","public void inchesToCentimeters(double i)
{
    double c = i * 2.54;
    printInCentimeters(i, c);
}

public void printInCentimeters(double inches, double centimeters)
{
    System.out.print(inches + ""-->"" + centimeters);
}",Assume that the method call inchesToCentimeters(10) appears in a method in the same class. What is printed as a result of the method call?,,,https://runestone.academy/ns/books/published/csawesome/,,,
"2-4-9: Consider the following methods, which appear in the same class.
","public void splitPizza(int numOfPeople)
{
    int slicesPerPerson = 8/numOfPeople;
    /* INSERT CODE HERE */
}

public void printSlices(int slices)
{
    System.out.println(""Each person gets "" + slices + "" slices each"");
}",Which of the following lines would go into /* INSERT CODE HERE */ in the method splitPizza in order to call the printSlices method to print the number of slices per person correctly?,,,https://runestone.academy/ns/books/published/csawesome/,,,
,"public class MethodTrace
{
  public int square(int x)
  {
      return x*x;
  }
  public int divide(int x, int y)
  {
        return x/y;
  }
  public static void main(String[] args) {
      MethodTrace traceObj = new MethodTrace();
      System.out.println( traceObj.square(2) + traceObj.divide(6,2) );
  }
 }","""2-5-4: What does the following code print out?
""",,,https://runestone.academy/ns/books/published/csawesome/,,,
2-5-6: Consider the following method.,"public double calculatePizzaBoxes(int numOfPeople, double slicesPerBox)
{ /*implementation not shown */}","Which of the following lines of code, if located in a method in the same class as calculatePizzaBoxes, will compile without an error?",,,https://runestone.academy/ns/books/published/csawesome/,,,
"2-5-7: Consider the following class definition.
","public class Liquid
{
    private double boilingPoint;
    private double freezingPoint;
    private double currentTemp;

    public Liquid()
    {
        currentTemp = 50;
    }

    public void lowerTemp()
    {
        currentTemp -= 10;
    }

    public double getTemp()
    {
        return currentTemp;
    }
}

Assume that the following code segment appears in a class other than Liquid.

Liquid water = new Liquid();
water.lowerTemp();
System.out.println(water.getTemp());
","What is printed as a result of executing the code segment?
",,,https://runestone.academy/ns/books/published/csawesome/,,,
,"String s1 = ""xy"";
String s2 = s1;
s1 = s1 + s2 + ""z"";","""2-6-5: Given the following code segment, what is in the string referenced by s1?
""",,,,,,
,"String s1 = ""abccba"";
int pos = s1.indexOf(""b"");","2-7-2: What is the value of pos after the following code executes?
",,,,,,
,"String s1 = ""baby"";
int len = s1.length();","2-7-3: What is the value of len after the following code executes?
",,,,,,
,"String s1 = ""baby"";
String s2 = s1.substring(0,3);","2-7-4: What is the value of s2 after the following code executes?
",,,,,,
,"String s1 = ""baby"";
String s2 = s1.substring(2);","2-7-5: What is the value of s2 after the following code executes?
",,,,,,
,"String s1 = new String(""hi there"");
int pos = s1.indexOf(""e"");
String s2 = s1.substring(0,pos);","2-7-9: What is the value of s2 after the following code executes?
",,,,,,
,"String s1 = ""Hi"";
String s2 = s1.substring(0,1);
String s3 = s2.toLowerCase();","2-7-10: What is the value of s1 after the following code executes?
",,,,,,
,"String s1 = ""Hi"";
String s2 = s1.substring(0,1);
String s3 = s2.toLowerCase();","2-7-11: What is the value of s3 after the following code executes?
",,,,,,
,"String s1 = ""Hi"";
String s2 = ""Bye"";
int answer = s1.compareTo(s2);","2-7-12: What is the value of answer after the following code executes?
",,,,,,
,"int x = 0;
int y = 1;
int z = 2;
x--;
y++;
z+=y;","1-5-2: What are the values of x, y, and z after the following code executes?
",,,,,,
,"int x = 3;
int y = 5;
int z = 2;
x = z * 2;
y = y / 2;
z++;","1-5-3: What are the values of x, y, and z after the following code executes?
",,,,,,
"2-14-7: Consider the following methods, which appear in the same class.","public void celsiusToFahrenheit(double cTemp)
{
    double fTemp = (cTemp * 9)/5 + 32;
    printTemperature(cTemp, fTemp);
}

public void printTemperature(double celsius, double fahrenheit)
{
    System.out.print(celsius + ""-->"" + fahrenheit);
}","Assume that the method call celsiusToFahrenheit(5) appears in a method in the same class. What is printed as a result of the method call?

",,,,,,
,"String s1 = ""Hey, buddy!"";
int len = s1.length();","2-15-4: What is the value of len after the following executes?
",,,,,,
,"String s1 = ""ac ded ca"";
int pos = s1.indexOf(""d"");","2-15-5: What is the value of pos after the following code executes?
",,,,,,
,"String s1 = ""Hey"";
String s2 = s1.substring(0,1);
String s3 = s2.toLowerCase();
","2-15-6: What is the value of s1 after the following code executes?
",,,,,,
,"public class BankAccount
{
    private int accountID;
    private double total;

    public BankAccount(int id, double initialDeposit)
    {
        accountID = id;
        total = initialDeposit;
    }

    public void deposit(double money)
    {
        total = total + money;
    }

    public void withdraw(double money)
    {
        total = total - money;
    }

    public void printCurrentTotal()
    {
        System.out.print(total);
    }

    public static void main(String[] args)
    {
        BankAccount newAccount = new BankAccount(12345, 100.00);
        newAccount.withdraw(30.00);
        newAccount.deposit(40.00);
        newAccount.printCurrentTotal();
    }
}","2-15-8: Given the BankAccount class definition below, what is the output of the code in the main method?",,"A. 100.00
B. 110.00
C. 90.00
D. 10.00",,,,
,"double value = Math.random();
int num = (int) (value * 5) + 5;","2-15-9: Given the following code segment, what is the value of num when it finishes executing? Math.random() returns a random decimal number between 0 and up to 1, for example 0.4.
",,"A. a random number from 0 to 4
B. a random number from 1 to 5
C. a random number from 5 to 9
D. a random number from 5 to 10",,,,
,"double value = Math.random();
int num = (int) (value * 11) - 5;","2-15-10: Given the following code segment, what is the value of num when it finishes executing? Math.random() returns a random decimal number between 0 and up to 1, for example 0.4.
",,"A. a random number from 0 to 10
B. a random number from 0 to 9
C. a random number from -5 to 4
D. a random number from -5 to 5",,,,
,"String s1 = ""xyz"";
String s2 = s1;
String s3 = s2;

I.   s1.equals(s3)
II.  s1 == s2
III. s1 == s3","2-15-11: After the following code is executed, which of I, II and/or III will evaluate to true?
",,"A. I, II, III
B. I only
C. II only
D. III only
E. II and III only",,,,
,"String s = ""Georgia Tech"";
String s1 = s.substring(0,7);
String s2 = s1.substring(2);
String s3 = s2.substring(0,3);
System.out.println(s3);","2-15-12: What is output from the following code?
",,"A. org
B. eor
C. eorg
D. orgi
E. You will get an index out of bounds exception",,,,
,"String s1 = ""Hi There"";
String s2 = s1;
String s3 = s2;
String s4 = s1;
s2 = s2.toLowerCase();
s3 = s3.toUpperCase();
s4 = null;","2-15-13: Given the following code segment, what is the value of s1 after the code executes?
",,"A. null
B. hi there
C. HI THERE
D. Hi There
E. hI tHERE",,,,
,"class SomeClass
{
    public SomeClass()
    {
        System.out.print(""Hello "");
    }

    void printSomething(String name)
    {
        System.out.print(""Hello "" + name + "" "");
    }
}

public class MainClass
{
    public static void main(String[] args)
    {
        SomeClass someClass = new SomeClass();
        someClass.printSomething(""Bob"");
    }
}",Assume that SomeClass and MainClass are properly defined in separate files. What is the output of the code in main()?,,"A. Hello Bob
B. Hello Hello Bob
C. Hello Bob Hello Bob
D. Hello Bob Hello",,,,
,"public class Test
{
   String someFunc(String str)
   {
       return someOtherFunc(str + "" Hoo"");
   }

   String someOtherFunc(String str)
   {
       return ""Hoo "" + str;
   }

   public static void main(String[] args)
   {
       Test x = new Test();
       System.out.print(""Woo "" + x.someFunc(""Woo""));
   }
}","2-15-17: What is the output of the following code?
",,"A. Woo Hoo Hoo Woo
B. Hoo Woo Hoo
C. Woo Hoo Woo Hoo
D. Woo Woo Hoo Hoo",,,,
,"System.out.println(""13"" + 5 + 3);",2-15-19: What does the following code print?,,"A. 21
B. 1353
C. It will give a run-time error
D. 138
E. It will give a compile-time error",,,,
,"class SomeClass
{
    int someVar;
}

public class MainClass
{
    public static void main(String[] args)
    {
        SomeClass x;
        System.out.println(x.someVar);
    }
}",2-15-20: Assume that SomeClass and MainClass are properly defined in separate files. What is the output of main()?,,"A. unknown value
B. 0
C. compile error
D. runtime error",,,,
,"class SomeClass
{
    int someVar;
}

public class MainClass
{
    public static void main(String[] args)
    {
        SomeClass x = new SomeClass();
        System.out.println(x.someVar);
    }
}",2-15-21: Assume that SomeClass and MainClass are properly defined in separate files. What is the output of main()?,,"A. unknown value
B. 0
C. compile error
D. runtime error",,,,
"3-1-8: Consider the following statement.
",boolean x = (5 % 3 == 0) == (3 > 5);,"What is the value of x after the statement has been executed?
",,,,,,
3-1-9: Consider the following Boolean expression in which the int variables x and y have been properly declared and initialized.,(x >= 10) == (y < 12),"Which of the following values for x and y will result in the expression evaluating to true ?
",,,,,,
,"public class Test1
{
   public static void main(String[] args)
   {
     boolean isRaining = true;
     if (isRaining)
     {
        System.out.println(""Take an umbrella!"");
     }
     System.out.println(""Drive carefully"");
   }
}","3-2-2: Try changing the code above to boolean isRaining = false;. What will it print?
",,,,,,
,"int x = 3;
if (x > 2)
{
    x = x * 2;
}
if (x > 4)
{
   x = 0;
}
System.out.print(x);",3-2-4: Consider the following code segment. What is printed as a result of executing the code segment?,"A. 3
B. 6
C. 0
D. 4
E. The code will not compile",,,,,
"3-2-7: Consider the following code segment.
","int speed = 35;
boolean rain = false;

if (rain)
{
   speed -= 10;
}

if (rain == false)
{
  speed += 5;
}

if (speed > 35)
{
   speed = speed - 2;
}

System.out.println(speed);","What is printed as a result of executing the code segment?

",,"A. 28
B. 35
C. 38
D. 25
E. 33",,,,
"3-2-8: Consider the following code segment.
","int x = 5;

if (x < 5)
{
   x = 3 * x;
}

if (x % 2 == 1)
{
   x = x / 2;
}

System.out.print(2*x + 1);","What is printed as a result of executing the code segment?
",,"A. 3
B. 11
C. 31
D. 15
E. 5",,,,
"3-3-8: Consider the following code segment where a range of “High”, “Middle”, or “Low” is being determined where x is an int and a “High” is 80 and above, a “Middle” is between 50 - 79, and “Low” is below 50.","if (x >= 80)
{
   System.out.println(""High"");
}

if (x >= 50)
{
  System.out.println(""Middle"");
}
else
{
   System.out.println(""Low"");
}","Which of the following initializations for x will demonstrate that the code segment will not work as intended?
",,"A. 80
B. 60
C. 50
D. 30
E. -10",,,,
,"if (x < 0)
{
   System.out.println(""x is negative"");
}
else if (x == 0)
{
   System.out.println(""x is zero"");
}
else
{
   System.out.println(""x is positive"");
}","3-4-2: What does the following code print when x has been set to -5?
",,"A. x is negative
B. x is zero
C. x is positive",,,,
,"if (x < 0)
{
   System.out.println(""x is negative"");
}
else if (x == 0)
{
   System.out.println(""x is zero"");
}
else
{
   System.out.println(""x is positive"");
}","3-4-3: What does the following code print when x has been set to 2000?
",,"A. x is negative
B. x is zero
C. x is positive",,,,
,"if (x < .25)
{
    System.out.println(""first quartile"");
}
else if (x < .5)
{
    System.out.println(""second quartile"");
}
else if (x < .75)
{
    System.out.println(""third quartile"");
}
else
{
    System.out.println(""fourth quartile"");
}","3-4-4: What does the following code print when x has been set to .8?
",,"A. first quartile
B. second quartile
C. third quartile
D. fourth quartile",,,,
,"I.   if (x > 66)
     {
       System.out.println(""High"");
     }
     else if (x > 33)
     {
       System.out.println(""Medium"");
     }
     else {
       System.out.println(""Low"");
     }

II.  if (x < 33)
     {
       System.out.println(""Low"");
     }
     else if (x < 66)
     {
       System.out.println(""Medium"");
     }
     else {
       System.out.println(""High"");
     }

III. if (x >= 66)
     {
       System.out.println(""High"");
     }
     if (x >= 33)
     {
       System.out.println(""Medium"");
     }
     if (x < 33)
     {
       System.out.println(""Low"");
     }","3-4-8: Assume an int variable x has been properly declared and initialized. Which of the following code segments will print out “High” if x is 66 and above, “Medium” is x is between 33-65, and “Low” if x is below 33.
",,"A. I only
B. II only
C. III only
D. I and II only
E. II and III only",,,,
,"if (x > 0 && (y / x) == 3)
{
   System.out.println(""first case"");
}
else
{
   System.out.println(""second case"");
}","3-5-8: What is printed when the following code executes and x has been set to 3 and y has been set to 6?
",,"A. first case
B. second case",,,,
,"if (x > 0 || (y / x) == 3)
{
   System.out.println(""first case"");
}
else
{
   System.out.println(""second case"");
}",3-5-9: What is printed when the following code executes and x has been set to 3 and y has been set to 6? Notice that it is now an or (||) instead of and (&&).,,"A. first case
B. second case",,,,
,"if (x > 0 && (y / x) == 3)
{
   System.out.println(""first case"");
}
else
{
   System.out.println(""second case"");
}",3-5-10: What is printed when the following code executes and x has been set to 0 and y to 3?,,"A. first case
B. second case
C. You will get a error because you can't divide by zero.",,,,
,"if (x == 0 || (y / x) == 3)
{
   System.out.println(""first case"");
}
else
{
   System.out.println(""second case"");
}",3-5-11: What is printed when the following code executes and x has been set to zero and y is set to 3?,,"A. first case
B. second case
C. You will get a error because you can't divide by zero.",,,,
,"int x = 10;
int y = 5;

if (x % 2 == 0 && y % 2 == 0 || x > y)
{
    System.out.print(""First "");

    if (y * 2 == x || y > 5 && x <= 10)
    {
       System.out.print(""Second "");
    }
    else
    {
       System.out.print(""Third "");
    }
}","3-5-13: Consider the following code segment. What is printed as a result of executing the code segment?
",,"A. Nothing is printed out.
B. First
C. Third
D. FirstSecond
E. FirstThird",,,,
,"int x = 4, y = 3;
if (!(x < 3 || y > 2))
{
   System.out.println(""first case"");
}
else
{
   System.out.println(""second case"");
}","3-6-2: What is printed when the following code executes and x equals 4 and y equals 3?
",,"A. first case
B. second case",,,,
,"int x = 4, y = 3;
if (!(x < 3 && y > 2))
{
   System.out.println(""first case"");
}
else
{
   System.out.println(""second case"");
}","3-6-3: What is printed when the following code executes and x equals 4 and y equals 3?
",,"A. first case
B. second case",,,,
,!(x > 2 && y < 4),"3-6-5: Which of the following is the same as the code below?
",,"A. (x < 2) || (y > 4)
B. (x < 2) && (y > 4)
C. (x <= 2) || (y >= 4)
D. (x <= 2) && (y >= 4)",,,,
,!(x == 2 && y > 4),"3-6-6: Which of the following is the same as the code below?
",,"A. (x != 2) || (y < 4)
B. (x != 2) && (y < 4)
C. (x != 2) && (y <= 4)
D. (x != 2) || (y <= 4)",,,,
,!(x!=5 && y!=7),"3-6-7: Which of the following is the same as the code below?
",,"A. (x == 5) || (y == 7)
B. (x == 5) && (y == 7)
C. (x != 5) || (y != 7)
D. (x < 5) || (x > 5) || (y > 7) || (y < 7)",,,,
,!(x<= 5 && y > 7),"3-6-8: Which of the following is the same as the code below?
",,"A. (x > 5) && (y < 7)
B. (x > 5) || (y < 7)
C. (x > 5) && (y <= 7)
D. (x > 5) || (y <= 7)",,,,
,"String s1 = new String(""hi"");
String s2 = new String(""bye"");
String s3 = new String(""hi"");
s2 = s1;","3-7-5: Which of the following is true after the code executes?
",,"A. s1 == s2 && s1 == s3
B. s1 == s2 && s1.equals(s3)
C. s1 != s2 && s1.equals(s3)",,,,
,"String s1 = new String(""hi"");
String s2 = new String(""bye"");
String s3 = new String(""hi"");","3-7-6: Which of the following is true after the code executes?
",,"A. s1 == s2 && s1 == s3
B. s2.equals(s3) && s1.equals(s3)
C. s1 != s3 && s1.equals(s3)",,,,
,"String s1 = new String(""hi"");
String s2 = new String(""bye"");
String s3 = new String(""hi"");","3-7-7: Which of the following is true after the code executes?
",,"A. s1 == s3 && s1.equals(s3)
B. s2.equals(s3) && s1.equals(s3)
C. !(s1 == s2) && !(s1 == s3)",,,,
"3-7-11: Consider the following code segment.
","String message = new String(""AP Practice"");
String note = new String(""AP Practice"");
String memo = new String(""memo"");
int i = 5;

if (message.equals(note) && !message.equals(""memo""))
{
    message = note;

    if (message == note && message.length() > i)
    {
       i = 3;
       memo = message.substring(i);
    }
}","Which of the following expressions evaluate to true after the code segment above executes?
",,"A. message == note && message == memo
B. message.equals(note) && message.equals(memo)
C. message == note && memo.equals(“Practice”)
D. message != note || message == memo
E. message.equals(memo) || memo.equals(note)",,,,
,"if (x < 0)
{
   System.out.println(""x is negative"");
}
else if (x == 0)
{
    System.out.println(""x is zero"");
}
else
{
    System.out.println(""x is positive"");
}","3-12-1: What does the following code print when x has been set to 187?
",,"A. x is negative
B. x is zero
C. x is positive",,,,
,"if (!(x < 3 || y > 2))
   System.out.println(""first case"");
else
   System.out.println(""second case"");
","3-12-2: What is printed when the following code executes and x equals 4 and y equals 3?
",,"A. first case
B. second case",,,,
,"if (score >= 90) grade = ""A"";
if (score >= 80) grade = ""B"";
if (score >= 70) grade = ""C"";
if (score >= 60) grade = ""D"";
else grade = ""E"";","3-12-3: What is the value of grade when the following code executes and score is 80?
",,"A. A
B. B
C. C
D. D
E. E",,,,
,"if (x > 0 || (y / x) == 3)
   System.out.println(""first case"");
else
   System.out.println(""second case"");","3-12-4: What is printed when the following code executes and x has been set to zero and y is set to 3?
",,"A. first case
B. second case
C. You will get a error because you can't divide by zero.",,,,
,"int x = 3;
int y = 2;
if (x > 2)
   x++;
if (y > 1)
   y++;
if (x > 2)
   System.out.print(""first "");
if (y < 3)
   System.out.print(""second "");
System.out.print(""third"");",3-12-10: What would the following print?,,"A. first
B. first second
C. first second third
D. first third
E. third",,,,
,"int x = 3;
int y = 2;
if (y / x > 0)
   System.out.print(""first "");
   System.out.print(""second "");","3-12-11: What would the following print?
",,"A. first
B. second
C. first second
D. Nothing will be printed",,,,
,"int count = 0;
/* missing loop header */
{
    System.out.print(count + "" "");
    count += 2;
}","4-1-3: Consider the following code segment. Which of the following can be used as a replacement for the missing loop header so that the loop prints out “0 2 4 6 8 10”?
",,"""A. while (count == 10)
B. while (count < 10)
C. while (count <= 10)
D. while (count > 10)""",,,,
,"int count = 1;
while (count <= 10)
{
    count *= 2;
}
count = count - 10;","4-1-5: Consider the following code segment. What is count’s value after running this code segment? (To trace through the code, keep track of the variable count and its value through each iteration of the loop.)
",,"A. 0
B. 1
C. 16
D. 6",,,,
,"int x = -5;
while (x < 0)
{
   x++;
   System.out.print(x + "" "");
}","4-1-6: What does the following code print? (To trace through the code, keep track of the variable x and its value, the iteration of the loop, and the output every time through the loop.)
",,"A. 5 4 3 2 1
B. -5 -4 -3 -2 -1
C. -4 -3 -2 -1 0",,,,
"4-1-9: Consider the following code segment.
","int n = 35;
int result = 1;
while (n > 0)
{
    int d = n % 10;
    result *= d;
    n /= 10;
}
System.out.println(result);","What is the output after the code has been executed?
",,"A. 35
B. 15
C. 10
D. 8
E. 33",,,,
"4-1-10: Consider the following code segment which is intended to print out the even numbers from 0 to 8 (including 8).
","int count = 0;
/* missing loop header */
{
    if (count % 2 == 0)
    {
        System.out.println(count);
    }
    count++;
}","Which of the following could replace the missing loop header to ensure that the code segment will work as intended to print out the even numbers from 0 to 8?
",,"A. while (count > 0)
B. while (count >= 8)
C. while (count < 8)
D. while (count < 10)
E. while (count <= 10)",,,,
,"for (int i = 3; i < 8; i++)
{
   System.out.print(i + "" "");
}","4-2-4: What does the following code print?
",,"A. 3 4 5 6 7 8
B. 0 1 2 3 4 5 6 7 8
C. 8 8 8 8 8
D. 3 4 5 6 7",,,,
,"for (int i = 1; i <= 10; i++)
{
   System.out.print(i + "" "");
}","4-2-5: What does the following code print?
",,"A. 3 4 5 6 7 8
B. 0 1 2 3 4 5 6 7 8 9
C. 1 2 3 4 5 6 7 8 9 10
D. 1 3 5 7 9",,,,
,"for (int i = 3; i <= 9; i++)
{
   System.out.print(""*"");
}","4-2-6: How many times does the following method print a *?
",,"A. 10
B. 6
C. 7
D. 9",,,,
,"for (int i = 1; i < 7; i++)
{
    for (int y = 1; y <= 5; y++)
    {
        System.out.print(""*"");
    }
    System.out.println();
}
","4-4-2: What does the following code print?
",,"A. A rectangle of 7 rows with 5 stars per row.
B. A rectangle of 7 rows with 4 stars per row.
C. A rectangle of 6 rows with 5 stars per row.
D. A rectangle of 6 rows with 4 stars per row.",,,,
,"for (int i = 0; i < 5; i++)
{
    for (int j = 3; j >= 1; j--)
    {
        System.out.print(""*"");
    }
    System.out.println();
}",4-4-3: What does the following code print?,,"A. A rectangle of 4 rows with 3 star per row.
B. A rectangle of 5 rows with 3 stars per row.
C. A rectangle of 4 rows with 1 star per row.
D. The loops have errors.",,,,
,"int var1 = 0;
int var2 = 2;

while ((var2 != 0) && ((var1 / var2) >= 0))
{
   var1 = var1 + 1;
   var2 = var2 -1;
}","4-5-2: What are the values of var1 and var2 when the code finishes executing?
",,"A. var1 = 1, var2 = 1
B. var1 = 2, var2 = 0
C. var1 = 3, var2 = -1
D. var1 = 0, var2 = 2
E. The loop will cause a run-time error with a division by zero",,,,
,"int x = 2;
int y = 5;

while (y > 2 && x < y)
{
   x = x + 1;
   y = y - 1;
}","4-5-3: What are the values of x and y when the code finishes executing?
",,,,,,
,"for (int i = 3; i < 8; i++)
{
    for (int y = 1; y < 5; y++)
    {
        System.out.print(""*"");
    }
    System.out.println();
}","4-5-6: How many times does the following code print a *?
",,,,,,
,"for (int i = 2; i < 8; i++)
{
    for (int y = 1; y <= 5; y++)
    {
        System.out.print(""*"");
    }
    System.out.println();
}","4-5-7: What does the following code print?
",,,,,,
,"for (int i = 3; i <= 9; i++)
{
   for (int j = 6; j > 0; j--)
   {
       System.out.print(""*"");
   }
   System.out.println();
}","4-5-8: What does the following print?
",,,,,,
,"int i = 0;
while (i <= 4)
{
  for (int j = 0; j < 3; j++)
  {
    System.out.println(""Hi!"");
  }
  i++;
}","4-5-9: Consider the following code segment. How many times is the string “Hi!” printed as a result of executing the code segment?
",,,,,,
,"for (int i = 3; i <= 12; i++)
{
   System.out.print(i + "" "");
}","4-11-1: What does the following code print?
",,,,,,
,"for (int i = 3; i < 9; i++)
{
   System.out.print(""*"");
}","4-11-2: How many times does the following method print a *?
",,,,,,
